Name,Description,Quota,Overage,Price
AT&T Prepaid 1G,https://www.att.com/prepaid/plans.html,1000,0.01,35
AT&T Prepaid 6G,https://www.att.com/prepaid/plans.html,6000,0.01,45
AT&T Prepaid Unlimited,https://www.att.com/prepaid/plans.html,unlimited,0.01,65
Verizon Prepaid 3G,https://www.verizonwireless.com/prepaid,3000,0.02,40
Verizon Prepaid 7G,https://www.verizonwireless.com/prepaid,7000,0.02,50
Verizon Prepaid 10G,https://www.verizonwireless.com/prepaid,10000,0.02,60
Verizon Prepaid Unlimited,https://www.verizonwireless.com/prepaid,unlimited,0.02,80
